Univ_Code_Key,Univ_Abr_Code,Univ_name,Univ_name2,Univ_Institution_Type,Univ_Member_Since,Univ_Member_Until,Univ_Dept,Univ_Street,Univ_House_Number,Univ_City,Univ_PO_Box,Univ_PO_Zip,Univ_State,Univ_Zip,Univ_Country,Univ_Active,SSMA_TimeStamp,Univ_TimeZone,Univ_Member_Type,Univ_Degree,Univ_Status,Univ_GeoCode,Univ_URL,Univ_Modified
1,ACU,Abilene Christian University,,01,2002,,,Campus Court,1600,Abilene,ACU Box 29309,79699,TX,79699,US,-1,000000000004700C,CST,01,04,01,,http://www.acu.edu/academics/coba/index.html,8/10/2013
2,BSU,Ball State University,,01,2001,20111231,Miller College of Business,University Avenue,2000,Muncie,WB 100,47306,IN,47306,US,-1,000000000002CBA2,EST,01,05,02,,http://www.bsu.edu/business,1/18/2012
3,CSU,Cleveland State University,,01,2001,,College of Business,"Euclid Avenue, BU 420",2121,Cleveland,,,OH,44115,US,-1,000000000001F476,EST,01,05,01,,http://www.csuohio.edu/business,11/8/2010
4,ISU,Indiana State University,,01,2003,,College of Business,Indiana State University,1,Terre Haute,,,IN,47809,US,-1,000000000001F414,EST,01,05,01,,http://www.indstate.edu/business,11/5/2010
5,IU,Indiana University Bloomington,,01,1998,,Kelley School of Business,Fee Lane,10th and,Bloomington,,,IN,47405,US,-1,000000000001F478,EST,01,05,01,,http://www.kelley.iu.edu,11/8/2010
6,IUK,Indiana University Kokomo,,01,2002,,School of Business,S. Washington Street,2300,Kokomo,,,IN,46904,US,-1,000000000001F416,EST,01,04,01,,http://www.iuk.edu/academics/schools/business,11/5/2010
7,IPFW,Indiana University-Purdue University Fort Wayne,,01,2004,,,E. Coliseum Blvd.,2101,Fort Wayne,,,IN,46805,US,-1,000000000005A804,EST,01,05,02,,http://www.ipfw.edu/business,5/19/2015
8,RIT,Rochester Institute of Technology,,01,1999,,E. Philip Saunders College of Business,Lomb Memorial Drive,107,Rochester,,,NY,14623,US,-1,000000000001F42E,EST,01,05,01,,http://www.saunders.rit.edu,11/5/2010
9,SJU,Saint Josephs University,,01,1998,,Haub School of Business,City Avenue,5600,Philadelphia,,,PA,19131,US,-1,0000000000052953,EST,01,05,01,,http://www.sju.edu/academics/hsb,9/10/2014
10,TSU,Texas State University-San Marcos,,01,2005,,Vice President Information Technology,University Drive,601,San Marcos,,,TX,78666,US,-1,000000000001F43F,CST,01,05,01,,http://www.mccoy.txstate.edu,11/5/2010
11,UC,University of Cincinnati,,01,2000,,College of Business,College of Business,ML #20,Cincinnati,,,OH,45221,US,-1,000000000001F448,EST,01,05,01,,http://www.business.uc.edu,11/5/2010
12,UMD,"University of Maryland, College Park",,01,2004,,Robert H. Smith School of Business,Van Munching Hall,3321,College Park,,,MD,20742,US,-1,0000000000020D8E,EST,01,05,01,,http://www.rhsmith.umd.edu,1/6/2011
13,NEBR,University of Nebraska,,01,1999,,Computing Services Network,Nebraska Hall,327,Lincoln,,,NE,68588,US,-1,000000000001F44F,CST,01,05,01,,http://www.nebraska.edu,11/5/2010
14,UWM,University of Wisconsin-Milwaukee,,01,2000,,,N. Maryland,3202,Milwaukee,PO Box 742,53201,WI,53209,US,,0000000000050A7E,CST,01,05,01,,http://www.ucc.sba.uwm.edu/default.aspx,6/18/2014
15,UWO,University of Wisconsin-Oshkosh (old - do not use),,01,2002,2009,College of Business,Algoma Blvd.,800,Oshkosh,,,WI,54986,US,0,0000000000052641,CST,01,04,02,,,8/29/2014
16,WU,Widener University,,01,1998,,School of Business,University Place,One,Chester,,,PA,19013,US,-1,000000000001F462,EST,01,05,01,,http://www.widener.edu/academics/collegesandschools/businessadministration,11/5/2010
17,MUO,Miami University of Ohio,,01,2003,,Farmer School of Business,E. High Street,501,Oxford,,,OH,45056,US,-1,000000000001F422,EST,01,05,01,,http://www.fsb.muohio.edu,11/5/2010
18,PCIT,Penn College of Technology,,01,2020,,,College Ave,1,Williamsport,,,PA,17701,US,0,0000000000019FC4,,01,04,03,,,6/26/2010
19,SIUE,Southern Illinois University Edwardsville,,01,1999,,School of Business,n/a,n/a,Edwardsville,"Campus Box 1106, SIUE",,IL,62026,US,-1,000000000001F437,CST,01,05,01,,http://www.siue.edu/business,11/5/2010
20,WC,Washington College,,02,2003,,OIT,Washington Avenue,300,Chestertown,,,MD,21620,US,-1,000000000001F45E,EST,01,04,01,,http://business.washcoll.edu,11/5/2010
